UserID,Birthday,IsSubscribed,SubscribeDate,GenderFinal,IsVIP,HasUsedWishlist,IsUsingMultipleDevices,SK_GeoCountry
4527721,,Yes,2012-12-12 13:52:28.757,N/D,Not VIP,No,No,216
4533703,,Yes,2012-12-12 21:18:53.220,N/D,Not VIP,No,No,216
4542738,,No,,N/D,Not VIP,No,No,29
4545905,,No,,Women,Not VIP,Yes,Yes,216
4526387,1988-05-28,Yes,2015-06-25 05:37:32.363,Women,Not VIP,Yes,No,29
4529228,,No,,Men,Not VIP,No,No,216
4530853,,No,,Women,Not VIP,No,No,216
4534570,,No,,Women,Not VIP,No,No,216
4534802,,No,,Men,Not VIP,Yes,No,216
4537061,,Yes,2015-01-03 16:46:31.027,Men,Not VIP,Yes,Yes,216
4600333,,Yes,2012-12-18 19:59:00.790,Women,Not VIP,No,No,216
4602707,,Yes,2012-12-17 06:13:14.040,N/D,Not VIP,Yes,No,37
4561970,,No,,Men,Not VIP,No,No,216
4534578,,No,,Men,Not VIP,No,No,216
4541479,,No,,Women,Not VIP,No,No,216
4554575,,Yes,2012-12-13 20:50:17.147,Men,Not VIP,Yes,No,216
4530191,,Yes,2014-12-10 12:20:35.070,Women,Not VIP,No,No,216
4530287,,No,,N/D,Not VIP,No,No,216
4559268,,No,,N/D,Not VIP,No,No,216
4561272,,No,,N/D,Not VIP,No,No,216
4573133,,No,,Women,Not VIP,Yes,No,216
85388,,Yes,2010-01-11 12:52:35.937,Women,Not VIP,Yes,No,69
4579769,,No,,Women,Not VIP,No,No,216
4541672,,No,,Men,Not VIP,No,No,216
4609926,,No,,Women,Not VIP,Yes,No,216
4554540,,No,,Women,Not VIP,No,No,216
4557767,,No,,Men,Not VIP,No,No,216
4533454,,No,,Men,Not VIP,No,No,29
4537430,,No,,N/D,Not VIP,No,No,216
4541124,,No,,Women,Not VIP,Yes,No,29
4542514,,No,,Women,Not VIP,No,No,216
4545786,,No,,Men,Not VIP,No,No,216
4546862,,Yes,2014-12-22 19:36:51.100,N/D,Not VIP,No,No,37
4564398,,No,,Men,Not VIP,No,No,216
4576162,,Yes,2013-07-16 13:07:50.760,Women,Not VIP,Yes,Yes,216
4582167,,Yes,2012-12-15 23:58:49.773,N/D,Not VIP,Yes,No,37
